laptop_id,serial_number,listed_date,ram_gb,storage_gb,screen_size_in,weight_kg,battery_hours,brand,cpu_brand,gpu_brand,laptop_type,os,price
LAP-015810,SN-83809107,2024-02-19,16,256.0,13.3,1.77,10.4,Lenovo,Intel,Integrada,2 en 1,Linux,715.04
LAP-017593,SN-65561010,2023-05-13,4,256.0,15.7,2.3,,Asus,Apple Silicon,NVIDIA,2 en 1,macOS,1177.34
LAP-009695,SN-77259611,2022-09-28,32,256.0,13.9,1.99,10.6,Apple,Intel,Integrada,Gaming,Linux,1889.8
LAP-010564,SN-30660251,2023-10-20,32,512.0,17.2,2.42,8.3,Samsung,AMD,Integrada,2 en 1,Windows,1203.28
LAP-012180,SN-87639532,2023-01-06,64,,17.4,0.96,12.3,Apple,Apple Silicon,Integrada,2 en 1,macOS,2059.26
LAP-006835,SN-97197497,2021-04-21,32,256.0,15.6,1.4,6.8,MSI,Intel,NVIDIA,Business,Windows,1459.77
LAP-019216,SN-63407988,2023-05-28,16,2048.0,17.2,1.76,8.4,Acer,AMD,Integrada,2 en 1,Windows,1176.08
LAP-015398,SN-24098268,2021-09-23,4,256.0,16.0,1.61,9.7,HP,Intel,Integrada,Notebook,Windows,327.2
LAP-013619,SN-86785833,2021-09-22,8,2048.0,13.2,1.8,9.7,MSI,AMD,Integrada,2 en 1,Windows,1290.28
LAP-011652,SN-52285168,2022-01-14,8,512.0,14.0,2.05,6.8,Asus,Intel,NVIDIA,2 en 1,Windows,1233.22
LAP-017985,SN-88963345,2021-11-08,32,1024.0,13.3,1.31,7.6,HP,Apple Silicon,Integrada,Ultrabook,macOS,1127.0
LAP-001607,SN-41568868,2024-11-08,8,2048.0,15.9,2.53,9.2,Acer,Intel,Integrada,Gaming,ChromeOS,1473.08
LAP-005867,SN-39911702,2024-10-28,16,256.0,13.3,1.9,9.5,Samsung,Intel,AMD Radeon,Gaming,Windows,1266.23
LAP-004755,SN-35778724,2024-01-30,16,512.0,17.3,2.39,10.0,Acer,AMD,Integrada,Notebook,Windows,445.25
LAP-000858,SN-14980457,2024-02-16,16,128.0,15.6,2.75,7.5,Apple,AMD,Integrada,Gaming,Windows,1543.15
LAP-010031,SN-81988301,2024-10-06,32,256.0,15.6,1.49,8.5,Lenovo,Intel,Integrada,Ultrabook,Linux,1270.81
LAP-002593,SN-72882575,2023-06-27,16,256.0,17.3,1.63,9.2,Dell,Intel,NVIDIA,Business,Windows,1175.85
LAP-007949,SN-51719309,2023-01-22,16,512.0,15.6,,4.4,Dell,AMD,AMD Radeon,Business,Linux,1161.56
LAP-007013,SN-87273719,2021-12-23,16,1024.0,13.3,3.31,2.4,Asus,AMD,NVIDIA,Gaming,Linux,1629.25
LAP-004024,SN-95782005,2021-06-10,8,256.0,16.1,2.27,7.1,Asus,AMD,Integrada,Ultrabook,Windows,743.25
LAP-017580,SN-29370656,2024-01-18,64,1024.0,17.3,1.93,5.8,MSI,Apple Silicon,Integrada,2 en 1,macOS,1636.82
LAP-006535,SN-56890804,2023-03-06,8,1024.0,14.0,2.58,8.8,MSI,Intel,Integrada,Ultrabook,Windows,881.18
LAP-005256,SN-74942134,2021-05-19,16,256.0,15.5,2.44,5.2,Dell,AMD,NVIDIA,Gaming,Windows,1451.48
LAP-015255,SN-43844758,2024-02-20,8,256.0,17.3,2.12,6.4,Samsung,Intel,Integrada,2 en 1,Windows,676.21
LAP-004126,SN-28698847,2024-10-22,64,1024.0,15.7,2.2,13.9,Dell,Intel,NVIDIA,Notebook,Windows,1819.7
LAP-017448,SN-21374192,2021-01-04,16,512.0,14.1,1.39,7.2,Apple,Intel,NVIDIA,Ultrabook,Windows,1942.69
LAP-007984,SN-32608393,2023-05-27,8,256.0,14.0,1.05,6.1,Apple,AMD,Integrada,Notebook,Windows,968.95
LAP-004227,SN-22739356,2023-08-02,16,256.0,15.6,1.56,7.1,Acer,Intel,Integrada,Ultrabook,Windows,854.81
LAP-010073,SN-57338964,2023-12-28,8,512.0,15.6,2.27,10.0,Samsung,Intel,Integrada,2 en 1,Linux,817.98
LAP-010728,SN-74922403,2022-03-31,8,256.0,15.6,1.22,9.0,Asus,Apple Silicon,Integrada,2 en 1,macOS,658.94
LAP-009322,SN-96755553,2024-10-31,32,1024.0,16.0,0.9,5.9,MSI,AMD,Integrada,Notebook,Windows,1241.23
LAP-018731,SN-40613342,2024-04-17,8,512.0,14.0,2.58,7.3,Lenovo,Intel,Integrada,Gaming,Windows,945.02
LAP-004660,SN-24295903,2022-04-05,32,512.0,17.3,1.81,7.7,MSI,AMD,Integrada,Ultrabook,Windows,1257.89
LAP-002397,SN-69801347,2022-12-31,16,,13.3,2.23,9.2,Lenovo,Intel,Integrada,Ultrabook,Windows,740.66
LAP-015324,SN-81130807,2024-12-25,32,256.0,14.0,1.84,8.9,Samsung,AMD,AMD Radeon,Ultrabook,Windows,1184.87
LAP-010645,SN-46682023,2021-06-05,4,128.0,15.6,2.47,9.9,MSI,Intel,NVIDIA,Gaming,Windows,1555.19
LAP-010532,SN-10052450,2024-04-14,4,128.0,13.9,2.37,6.9,Apple,Intel,AMD Radeon,Notebook,Windows,1303.76
LAP-006364,SN-45776232,2024-03-14,32,256.0,14.0,1.97,8.6,MSI,Intel,AMD Radeon,Notebook,Windows,1112.7
LAP-004427,SN-78005677,2022-07-21,32,128.0,15.7,2.11,5.2,Asus,Intel,NVIDIA,2 en 1,Windows,1527.77
LAP-016813,SN-77682244,2023-10-10,16,512.0,15.6,1.45,8.6,HP,Intel,Integrada,2 en 1,Windows,854.6
LAP-006327,SN-49633899,2024-08-22,8,2048.0,13.4,1.45,7.3,Apple,AMD,Integrada,2 en 1,ChromeOS,1738.9
LAP-000077,SN-26487820,2024-11-11,16,128.0,15.7,1.69,10.5,HP,Intel,AMD Radeon,Business,Windows,782.2
LAP-009401,SN-53257855,2022-03-04,16,1024.0,16.1,2.35,5.2,Samsung,Apple Silicon,AMD Radeon,Business,macOS,1121.99
LAP-012447,SN-93967494,2021-04-07,32,1024.0,17.3,3.0,8.5,HP,AMD,NVIDIA,Gaming,Linux,1854.57
LAP-013551,SN-62435712,2024-10-08,8,256.0,16.0,2.13,6.6,Asus,AMD,Integrada,Business,Windows,569.83
LAP-008103,SN-85205955,2023-01-12,16,1024.0,15.6,2.18,8.6,Apple,Intel,NVIDIA,Business,Windows,1896.82
LAP-009503,SN-74657949,2021-11-04,16,1024.0,16.1,1.75,7.6,Acer,Apple Silicon,Integrada,Business,macOS,940.13
LAP-007401,SN-20070896,2024-12-09,8,1024.0,15.7,0.9,6.1,Samsung,AMD,NVIDIA,Ultrabook,ChromeOS,1302.02
LAP-000763,SN-23383239,2023-04-11,16,256.0,13.9,2.39,7.4,Samsung,AMD,Integrada,Ultrabook,Windows,922.48
LAP-002167,SN-42259458,2022-04-12,64,512.0,17.2,2.27,9.0,MSI,Apple Silicon,Integrada,Ultrabook,macOS,1602.84
LAP-017145,SN-87857615,2024-06-07,16,256.0,15.6,0.9,7.7,MSI,Intel,Integrada,Business,Linux,983.05
LAP-002973,SN-53932970,2024-09-09,32,512.0,13.9,2.08,7.8,Samsung,AMD,Integrada,Ultrabook,Windows,1017.16
LAP-001499,SN-50729666,2024-08-03,32,128.0,14.0,1.83,10.6,MSI,Intel,NVIDIA,Business,Linux,1411.4
LAP-011611,SN-16665796,2023-03-24,64,1024.0,16.0,1.3,9.1,Apple,Intel,Integrada,Ultrabook,Linux,2263.37
LAP-008277,SN-14620321,2023-07-23,4,512.0,15.9,1.77,8.3,Apple,AMD,Integrada,Business,Windows,1217.48
LAP-013705,SN-78372913,2024-02-11,64,512.0,15.7,2.46,8.2,Apple,AMD,Integrada,2 en 1,ChromeOS,2245.38
LAP-012712,SN-83836264,2021-11-25,8,512.0,16.0,2.56,12.2,Lenovo,Intel,Integrada,Gaming,Windows,1186.95
LAP-006192,SN-81618303,2022-08-04,8,512.0,14.0,2.77,,Lenovo,Apple Silicon,Integrada,Gaming,macOS,1044.06
LAP-008167,SN-71293067,2023-01-10,16,256.0,13.9,0.9,7.7,Lenovo,AMD,Integrada,2 en 1,Windows,590.18
LAP-006261,SN-91122325,2021-10-14,8,256.0,13.3,2.75,,Asus,AMD,Integrada,2 en 1,Linux,582.53
LAP-017805,SN-57181392,2022-11-23,8,1024.0,15.6,1.33,9.2,MSI,AMD,Integrada,Ultrabook,Windows,1010.07
LAP-001647,SN-26161012,2022-04-29,8,128.0,14.0,2.41,7.1,Apple,Intel,NVIDIA,Gaming,Windows,1849.57
LAP-001770,SN-64240683,2024-09-21,16,128.0,15.6,1.26,4.2,Lenovo,Intel,Integrada,Ultrabook,Windows,795.49
LAP-012353,SN-80484014,2024-07-11,4,1024.0,17.5,1.83,7.0,Apple,AMD,NVIDIA,2 en 1,Windows,1823.2
LAP-002415,SN-45006813,2023-04-10,8,512.0,15.6,2.03,8.0,Asus,Apple Silicon,NVIDIA,Ultrabook,macOS,1373.77
LAP-005065,SN-63888962,2022-12-14,8,1024.0,15.6,2.32,11.6,Apple,AMD,NVIDIA,Notebook,Windows,1564.2
LAP-019160,SN-19466228,2023-08-15,16,256.0,15.6,2.19,,HP,Intel,Integrada,Notebook,Windows,425.42
LAP-019239,SN-74111385,2021-02-23,16,2048.0,15.6,2.09,8.1,Apple,Intel,Integrada,Business,Windows,1698.21
LAP-002005,SN-87972822,2022-12-11,8,1024.0,14.1,2.49,3.1,HP,Intel,Integrada,2 en 1,Windows,986.49
LAP-009587,SN-53426139,2021-03-04,8,512.0,17.4,1.2,6.5,Samsung,Intel,NVIDIA,Ultrabook,Windows,1085.96
LAP-016062,SN-78177001,2021-03-18,16,512.0,13.2,2.45,7.5,Apple,Intel,AMD Radeon,Ultrabook,Windows,1454.53
LAP-009085,SN-35803984,2022-12-25,32,256.0,15.6,1.09,9.6,Samsung,Intel,NVIDIA,Notebook,Windows,1368.46
LAP-014395,SN-70256846,2021-10-26,8,1024.0,16.0,3.45,11.2,Samsung,Intel,Integrada,Gaming,Linux,1195.13
LAP-010341,SN-13464374,2021-05-23,8,2048.0,15.6,2.22,4.4,Apple,AMD,Integrada,Ultrabook,Linux,1761.71
LAP-018827,SN-80021397,2024-02-14,16,256.0,17.3,,7.9,Samsung,Apple Silicon,Integrada,2 en 1,macOS,940.95
LAP-008536,SN-81802772,2021-12-05,8,256.0,13.3,3.29,7.3,Acer,Intel,Integrada,Gaming,Windows,562.93
LAP-019036,SN-78542952,2023-07-19,16,256.0,15.6,1.9,6.9,Lenovo,AMD,NVIDIA,2 en 1,Windows,1282.54
LAP-015927,SN-59791169,2022-05-02,64,256.0,17.3,2.6,9.2,Apple,Intel,Integrada,Notebook,Windows,1864.08
LAP-010385,SN-60146840,2021-09-24,4,512.0,15.6,1.27,8.3,Dell,Apple Silicon,Integrada,2 en 1,macOS,710.68
LAP-005499,SN-31854646,2022-08-23,32,512.0,13.4,2.71,5.6,Dell,Intel,Integrada,Gaming,Windows,1403.47
LAP-005917,SN-32679732,2024-12-29,4,512.0,14.0,2.18,5.6,HP,Intel,NVIDIA,2 en 1,Windows,996.98
LAP-006901,SN-85195209,2022-07-12,8,512.0,15.6,1.7,4.0,Apple,Intel,Integrada,2 en 1,Linux,1239.29
LAP-001703,SN-73985167,2022-12-16,8,1024.0,14.0,1.62,6.9,HP,Intel,Integrada,Ultrabook,Linux,730.08
LAP-007021,SN-31330148,2023-11-27,16,128.0,13.3,0.99,9.0,Samsung,Intel,Integrada,2 en 1,Linux,836.4
LAP-004759,SN-26189391,2024-11-14,16,512.0,15.7,1.62,7.5,Apple,Intel,Integrada,Ultrabook,Windows,1544.0
LAP-005355,SN-11138866,2022-09-09,8,1024.0,16.0,2.45,8.5,MSI,Intel,Integrada,Gaming,Windows,1257.69
LAP-011046,SN-46538943,2021-08-26,8,1024.0,14.0,1.97,7.8,Asus,Intel,Integrada,Business,Linux,836.52
LAP-012936,SN-57703094,2024-11-26,16,512.0,13.3,1.94,9.1,Acer,Intel,Integrada,Notebook,Windows,574.29
LAP-008018,SN-36966814,2022-03-15,16,256.0,13.5,2.46,11.7,HP,AMD,Integrada,2 en 1,Windows,862.99
LAP-011531,SN-52589832,2024-12-09,16,1024.0,13.4,1.98,7.1,Asus,Intel,NVIDIA,Ultrabook,Windows,1425.52
LAP-009845,SN-18120991,2023-04-14,8,2048.0,15.6,1.26,8.6,Lenovo,Intel,Integrada,Notebook,Windows,930.61
LAP-013518,SN-70596956,2021-04-11,64,1024.0,17.3,3.02,9.3,Samsung,Intel,Integrada,Gaming,Windows,1986.25
LAP-016132,SN-16948222,2023-02-05,8,512.0,14.0,1.89,9.5,Dell,AMD,NVIDIA,Notebook,Windows,1031.42
LAP-012600,SN-45019423,2024-12-18,16,512.0,14.0,1.61,8.0,MSI,AMD,NVIDIA,2 en 1,Windows,1333.4
LAP-010005,SN-86181081,2023-12-01,16,128.0,13.3,1.36,6.8,MSI,Intel,NVIDIA,2 en 1,Windows,1263.02
LAP-003564,SN-74435779,2022-07-27,16,512.0,15.6,0.94,4.5,MSI,AMD,NVIDIA,Notebook,Windows,1065.9
LAP-010885,SN-22088125,2023-03-31,16,1024.0,15.5,1.96,4.8,MSI,Intel,NVIDIA,Ultrabook,ChromeOS,1815.98
LAP-002515,SN-53403070,2021-05-03,8,256.0,13.2,1.53,11.6,MSI,AMD,Integrada,Notebook,Windows,347.38
LAP-005335,SN-91646626,2022-10-14,32,256.0,15.9,1.92,3.6,Dell,Intel,AMD Radeon,Business,Windows,1089.15
LAP-004029,SN-51352738,2024-06-21,4,512.0,14.0,1.32,8.1,Asus,AMD,Integrada,2 en 1,Windows,652.62
LAP-011664,SN-10727246,2024-06-16,16,512.0,14.0,2.6,8.1,MSI,Intel,Integrada,Ultrabook,ChromeOS,1064.04
LAP-004219,SN-71233550,2022-09-15,4,128.0,16.0,1.81,10.3,HP,Intel,Integrada,Notebook,Windows,304.52
LAP-013769,SN-62033266,2024-05-09,8,512.0,15.6,2.16,10.5,Samsung,Apple Silicon,Integrada,Notebook,macOS,761.09
LAP-007077,SN-37532900,2023-04-22,32,1024.0,14.1,1.24,9.5,HP,AMD,Integrada,Business,Windows,1081.66
LAP-012556,SN-15601284,2024-07-01,8,512.0,16.0,2.16,7.6,HP,AMD,Integrada,Business,Windows,599.82
LAP-006562,SN-50540769,2022-06-23,16,2048.0,15.6,2.06,9.4,Asus,Intel,NVIDIA,2 en 1,Windows,1695.48
LAP-003032,SN-64811523,2021-07-23,8,1024.0,17.3,2.63,6.4,Acer,Intel,NVIDIA,Business,Windows,1131.79
LAP-012504,SN-24556570,2023-05-27,32,512.0,14.1,1.16,5.6,Asus,Intel,Integrada,Business,Windows,794.22
LAP-005399,SN-46081163,2022-10-15,4,256.0,15.9,1.21,6.6,MSI,Intel,Integrada,Ultrabook,Windows,818.71
LAP-006104,SN-44014036,2023-06-01,4,1024.0,14.0,2.55,6.3,MSI,AMD,Integrada,2 en 1,Windows,947.02
LAP-018100,SN-13954122,2023-10-27,16,1024.0,13.3,2.27,7.6,Asus,Intel,NVIDIA,Gaming,Windows,1795.0
LAP-000249,SN-61186322,2024-09-03,32,256.0,13.3,3.89,9.1,Dell,Apple Silicon,Integrada,Gaming,macOS,1224.35
LAP-019049,SN-36371302,2021-02-07,32,128.0,15.6,2.28,5.5,Dell,AMD,Integrada,Notebook,Windows,642.35
LAP-015993,SN-41088759,2024-07-12,16,256.0,15.9,1.69,9.2,HP,AMD,Integrada,Business,Linux,631.42
LAP-019815,SN-18721952,2023-01-22,32,512.0,17.4,1.97,5.8,MSI,AMD,Integrada,2 en 1,Windows,1269.56
LAP-019191,SN-37497660,2021-08-20,32,2048.0,15.5,2.45,4.9,Asus,Intel,Integrada,Gaming,Windows,1685.04
LAP-017794,SN-72834935,2022-07-19,32,512.0,16.0,1.38,6.5,Acer,Intel,Integrada,2 en 1,Windows,968.41
LAP-015244,SN-26980594,2022-09-28,16,512.0,15.6,3.3,6.4,Asus,Intel,NVIDIA,Gaming,Windows,1478.54
LAP-001510,SN-22017474,2021-06-05,64,128.0,13.9,2.13,10.5,Lenovo,Intel,Integrada,2 en 1,Windows,1237.23
LAP-015951,SN-41344540,2023-05-06,8,2048.0,14.0,2.52,7.4,Samsung,AMD,Integrada,2 en 1,Windows,1225.06
LAP-018968,SN-71239086,2023-07-05,4,512.0,15.6,2.21,13.0,Acer,AMD,NVIDIA,Ultrabook,Windows,1103.69
LAP-017434,SN-41873549,2023-09-27,16,512.0,15.6,2.82,12.3,Acer,Intel,Integrada,Business,Windows,717.37
LAP-011838,SN-12527104,2023-02-08,16,512.0,14.1,,7.3,HP,AMD,Integrada,Ultrabook,Windows,819.66
LAP-009311,SN-80140853,2021-06-03,16,256.0,14.0,2.04,8.2,MSI,AMD,Integrada,Notebook,Windows,748.46
LAP-013148,SN-21055637,2021-01-03,32,128.0,14.0,1.27,9.0,Lenovo,AMD,NVIDIA,2 en 1,Windows,1495.33
LAP-000286,SN-93976527,2021-11-17,4,1024.0,14.1,0.95,8.8,HP,AMD,Integrada,Notebook,Windows,705.16
LAP-003006,SN-63729709,2021-04-05,32,512.0,15.6,1.51,,Acer,AMD,AMD Radeon,Ultrabook,Linux,1251.69
LAP-004272,SN-99766940,2023-01-24,8,512.0,14.0,1.33,3.9,Samsung,AMD,AMD Radeon,Business,Windows,964.85
LAP-004701,SN-56459364,2021-01-02,16,512.0,15.5,1.85,10.4,Dell,AMD,AMD Radeon,Notebook,Linux,960.71
LAP-000177,SN-91288069,2023-03-21,16,128.0,16.0,1.65,6.1,HP,AMD,Integrada,Notebook,ChromeOS,401.41
LAP-006279,SN-38517244,2021-10-27,64,512.0,17.3,1.64,10.1,Asus,Intel,Integrada,Ultrabook,ChromeOS,1616.11
LAP-007932,SN-78615756,2024-11-22,16,1024.0,13.3,2.63,,Asus,Intel,Integrada,Gaming,Windows,1261.31
LAP-014039,SN-78630883,2022-05-14,16,256.0,15.6,1.74,6.3,Acer,Intel,NVIDIA,Notebook,Windows,777.98
LAP-009059,SN-24356688,2021-08-30,32,2048.0,13.3,1.95,10.6,Acer,Intel,Integrada,Business,Windows,1154.89
LAP-019052,SN-26311870,2024-01-15,16,512.0,15.5,2.33,,Dell,Intel,NVIDIA,Gaming,Windows,1573.2
LAP-013526,SN-81016514,2023-03-27,16,512.0,14.0,0.9,7.2,Samsung,AMD,AMD Radeon,Ultrabook,Windows,1044.5
LAP-011157,SN-28958927,2023-08-16,64,512.0,15.6,1.97,5.6,MSI,Apple Silicon,Integrada,Notebook,macOS,1353.97
LAP-000401,SN-50846790,2023-01-02,8,512.0,15.5,1.88,,MSI,Intel,NVIDIA,Business,Windows,1266.26
LAP-008480,SN-22671219,2022-10-08,4,512.0,14.0,2.88,7.0,Apple,AMD,NVIDIA,Gaming,Windows,2093.28
LAP-001749,SN-38508165,2022-12-05,32,512.0,15.9,1.11,,Apple,AMD,Integrada,2 en 1,Windows,1717.57
LAP-005056,SN-85139361,2023-08-19,8,1024.0,15.6,2.92,9.1,Samsung,AMD,NVIDIA,Gaming,Windows,1757.16
LAP-013417,SN-43649625,2024-03-26,4,512.0,16.0,0.9,8.8,Acer,Intel,Integrada,Notebook,Windows,443.16
LAP-013544,SN-76988891,2024-05-07,8,512.0,14.0,3.02,3.1,Samsung,AMD,NVIDIA,Gaming,Windows,1364.96
LAP-017893,SN-32214437,2021-03-27,64,512.0,15.9,2.43,12.8,Dell,AMD,NVIDIA,2 en 1,Windows,1731.09
LAP-014026,SN-65629391,2022-10-17,16,512.0,14.0,2.35,10.1,Asus,Intel,Integrada,Ultrabook,Windows,793.11
LAP-019699,SN-79053278,2024-02-29,16,512.0,16.1,1.98,8.0,Dell,Intel,Integrada,Notebook,ChromeOS,787.5
LAP-013010,SN-67105079,2022-11-24,32,1024.0,16.0,2.21,5.4,HP,Intel,Integrada,2 en 1,Windows,1158.41
LAP-011592,SN-28683554,2022-11-17,8,1024.0,17.3,1.6,9.1,Apple,Intel,NVIDIA,Notebook,Windows,1864.2
LAP-014867,SN-43316885,2023-08-27,8,256.0,14.0,1.92,,HP,Intel,Integrada,Business,Windows,572.4
LAP-004171,SN-78856598,2021-07-27,4,512.0,16.0,1.38,7.1,Lenovo,Intel,NVIDIA,Business,Linux,1097.86
LAP-011472,SN-45855439,2021-08-05,8,2048.0,15.6,2.71,4.0,Samsung,Apple Silicon,Integrada,Gaming,macOS,1244.64
LAP-010612,SN-57127324,2022-10-11,8,128.0,15.6,2.16,6.1,Dell,Intel,NVIDIA,Gaming,Windows,1511.73
LAP-008797,SN-68470600,2022-05-04,8,1024.0,17.4,1.76,8.3,HP,Intel,AMD Radeon,Notebook,Windows,1089.38
LAP-005607,SN-92639640,2021-11-07,8,512.0,15.5,2.09,9.3,Acer,Intel,Integrada,Notebook,Windows,421.14
LAP-009842,SN-41438903,2023-11-21,16,256.0,14.0,1.33,10.2,Apple,Apple Silicon,AMD Radeon,Notebook,macOS,1468.12
LAP-012173,SN-13488221,2021-02-24,8,1024.0,15.7,3.31,10.4,Asus,Intel,Integrada,Gaming,Windows,1174.12
LAP-002143,SN-39942601,2022-02-02,16,2048.0,13.3,1.82,10.7,Acer,Intel,NVIDIA,Ultrabook,Windows,1501.6
LAP-007947,SN-15235025,2021-07-08,8,512.0,13.3,1.69,8.7,HP,Intel,Integrada,2 en 1,Windows,590.68
LAP-008137,SN-87533032,2024-07-28,8,1024.0,13.2,2.25,5.7,Samsung,Apple Silicon,AMD Radeon,Ultrabook,macOS,1106.35
LAP-010475,SN-16737328,2021-02-18,16,1024.0,13.9,3.11,7.3,Dell,AMD,Integrada,Ultrabook,Windows,1029.35
LAP-014010,SN-91675435,2022-05-02,16,512.0,15.6,2.16,9.3,Apple,Apple Silicon,NVIDIA,Ultrabook,macOS,1849.11
LAP-002706,SN-67793292,2023-11-24,32,256.0,16.0,2.47,5.2,Apple,Intel,Integrada,Notebook,Windows,1403.31
LAP-006986,SN-95623077,2023-06-04,8,256.0,13.3,2.52,8.7,Acer,Intel,Integrada,Ultrabook,Linux,445.78
LAP-015184,SN-22121847,2024-02-12,16,512.0,13.4,1.85,6.3,Samsung,AMD,AMD Radeon,2 en 1,Windows,1146.4
LAP-017186,SN-78315221,2022-07-01,8,512.0,13.4,2.1,10.1,Lenovo,AMD,NVIDIA,2 en 1,ChromeOS,1332.32
LAP-013212,SN-79146260,2024-10-01,16,512.0,13.9,2.02,4.8,Acer,Intel,NVIDIA,Notebook,Windows,938.47
LAP-013052,SN-31242983,2023-12-25,4,2048.0,13.3,2.47,6.3,HP,AMD,Integrada,Ultrabook,Linux,992.67
LAP-009207,SN-87986945,2024-02-21,32,256.0,13.3,0.9,10.4,Apple,AMD,Integrada,Notebook,Linux,1275.85
LAP-006927,SN-30466188,2021-03-24,16,256.0,15.6,1.95,8.4,Lenovo,Intel,Integrada,Notebook,Windows,492.89
LAP-008274,SN-42495285,2022-08-12,8,,15.6,2.22,5.6,Dell,Intel,AMD Radeon,Business,Windows,720.99
LAP-002600,SN-86738557,2022-12-28,16,1024.0,16.0,1.78,7.2,MSI,AMD,Integrada,Gaming,Linux,1411.73
LAP-017676,SN-39545078,2023-11-29,16,256.0,16.0,2.26,,Samsung,AMD,AMD Radeon,Ultrabook,ChromeOS,1172.82
LAP-001954,SN-70492100,2024-11-12,4,256.0,13.3,2.05,5.8,Samsung,AMD,AMD Radeon,Gaming,Windows,1131.41
LAP-005283,SN-58047367,2021-09-30,32,512.0,17.4,2.74,8.6,MSI,AMD,NVIDIA,Notebook,Windows,1251.17
LAP-000980,SN-11306240,2021-09-27,4,1024.0,14.0,2.23,10.3,Acer,Intel,Integrada,Notebook,Windows,560.7
LAP-001913,SN-52781988,2024-12-21,8,512.0,16.0,1.82,6.5,MSI,Intel,NVIDIA,Notebook,Windows,1127.24
LAP-014718,SN-97106298,2024-02-03,16,512.0,16.0,0.97,6.2,Lenovo,Intel,AMD Radeon,Business,Windows,1011.6
LAP-016929,SN-13016403,2021-03-21,16,256.0,13.4,0.9,,Apple,Apple Silicon,Integrada,Notebook,macOS,1151.7
LAP-005441,SN-28647260,2023-11-11,4,128.0,14.1,3.81,9.4,Acer,Apple Silicon,Integrada,Gaming,macOS,755.65
LAP-009955,SN-94401915,2024-10-29,16,128.0,13.9,1.78,2.6,HP,Apple Silicon,Integrada,Business,macOS,546.15
LAP-008703,SN-42194934,2023-09-02,16,512.0,15.7,1.83,7.3,Dell,Intel,AMD Radeon,Ultrabook,Windows,1142.39
LAP-005844,SN-60974925,2022-12-09,16,512.0,17.3,1.01,8.3,MSI,Apple Silicon,Integrada,Notebook,macOS,848.08
LAP-018877,SN-55860242,2022-09-12,8,1024.0,13.3,2.4,4.7,Acer,Intel,Integrada,Gaming,Linux,1043.97
LAP-002931,SN-96787980,2023-10-25,8,256.0,15.6,1.67,8.7,Apple,AMD,NVIDIA,Business,Windows,1683.44
LAP-009930,SN-67867658,2023-06-21,16,2048.0,17.4,1.43,10.5,Lenovo,Apple Silicon,Integrada,2 en 1,macOS,1210.65
LAP-004331,SN-29173268,2021-11-13,8,512.0,15.7,2.41,6.8,Lenovo,AMD,AMD Radeon,Business,Windows,938.47
LAP-013881,SN-45881038,2023-07-02,16,256.0,14.0,1.3,7.9,Apple,Intel,Integrada,Business,Linux,1239.3
LAP-009431,SN-91315604,2024-10-15,16,1024.0,15.6,2.16,10.9,HP,Apple Silicon,Integrada,Business,macOS,1032.56
LAP-008771,SN-96198102,2022-02-11,16,2048.0,15.6,2.18,,Samsung,Intel,AMD Radeon,Gaming,Windows,1863.17
LAP-017623,SN-14452453,2022-08-18,16,2048.0,17.3,1.44,7.5,Samsung,Intel,NVIDIA,Ultrabook,Windows,1788.52
LAP-016740,SN-81512416,2023-03-18,16,512.0,13.3,1.61,5.2,Lenovo,Intel,NVIDIA,Notebook,Windows,899.84
LAP-009195,SN-14537922,2022-03-10,16,512.0,15.6,1.76,7.5,HP,Intel,Integrada,Notebook,Windows,642.37
LAP-013377,SN-38301816,2023-04-19,8,256.0,15.6,2.23,,Acer,Intel,NVIDIA,Notebook,Windows,794.07
LAP-007490,SN-66326439,2022-09-13,8,2048.0,14.1,2.63,9.5,Dell,AMD,NVIDIA,Business,Windows,1427.71
LAP-006126,SN-81189772,2023-07-15,8,256.0,13.2,1.3,10.1,HP,AMD,Integrada,Business,Windows,493.36
LAP-014357,SN-47446787,2022-07-13,16,512.0,15.6,0.9,,Samsung,AMD,AMD Radeon,2 en 1,Windows,1257.69
LAP-008984,SN-54696454,2024-01-10,32,1024.0,15.7,2.2,8.9,HP,AMD,Integrada,Business,Windows,1122.21
LAP-017303,SN-44244855,2022-01-27,8,128.0,15.6,1.96,2.0,Samsung,Intel,Integrada,Ultrabook,ChromeOS,716.52
LAP-003081,SN-83800322,2024-03-23,16,128.0,13.3,3.01,7.7,MSI,Intel,Integrada,Gaming,Windows,1168.43
LAP-007146,SN-92331975,2024-11-07,8,1024.0,15.6,0.92,4.5,Samsung,AMD,AMD Radeon,Notebook,ChromeOS,814.73
LAP-011646,SN-49277073,2022-05-06,8,1024.0,13.3,1.77,9.7,Dell,AMD,Integrada,Notebook,Windows,674.18
LAP-014411,SN-19198200,2024-10-14,32,1024.0,15.7,2.06,,Asus,Intel,Integrada,Business,Windows,1369.42
LAP-003016,SN-63879353,2023-05-21,8,2048.0,16.0,1.55,7.7,Acer,AMD,AMD Radeon,2 en 1,Windows,1405.6
LAP-009300,SN-12474437,2021-09-12,16,256.0,16.0,1.81,8.7,HP,AMD,AMD Radeon,Business,Windows,923.82
LAP-015334,SN-20536316,2024-08-20,32,1024.0,15.6,2.23,7.8,Asus,AMD,AMD Radeon,Notebook,Windows,1321.07
