block_id,internal_code,record_date,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,ocean_proximity,median_house_value
BLOCK-007344,42274,2021-03-08,1.5255,20.0,2834.0,519.0,340,93.0,33.06,-118.92,<1H OCEAN,204781.0
BLOCK-000274,92895,2024-11-06,3.0565,6.0,398.0,63.0,1145,265.0,35.55,-119.23,<1H OCEAN,218112.0
BLOCK-003405,24166,2024-08-15,2.3686,15.0,7777.0,2273.0,2255,634.0,38.12,-119.31,<1H OCEAN,158012.0
BLOCK-009398,98825,2024-06-28,2.3507,5.0,133.0,27.0,4787,1143.0,36.26,-121.94,INLAND,167885.0
BLOCK-001804,12549,2024-02-20,3.6123,32.0,5048.0,,402,97.0,37.48,-115.52,NEAR OCEAN,216115.0
BLOCK-004219,46536,2021-03-18,2.4064,42.0,6494.0,1748.0,2556,572.0,36.14,-120.6,<1H OCEAN,177076.0
BLOCK-005215,51389,2023-02-09,4.72,38.0,2968.0,749.0,5041,1502.0,40.27,-114.3,<1H OCEAN,311077.0
BLOCK-005746,35002,2022-02-18,1.7719,6.0,6504.0,1944.0,5523,1806.0,36.51,-114.29,NEAR OCEAN,135130.0
BLOCK-005035,18739,2024-02-26,1.6313,43.0,3085.0,473.0,301,72.0,32.99,-120.52,NEAR OCEAN,200297.0
BLOCK-003525,56807,2023-06-30,1.5542,31.0,1140.0,,2332,656.0,40.89,-116.71,<1H OCEAN,195392.0
BLOCK-014892,16822,2021-07-14,2.0488,23.0,3549.0,,4382,1431.0,33.22,-123.2,<1H OCEAN,238608.0
BLOCK-004706,58559,2020-07-27,3.0113,38.0,620.0,100.0,2811,667.0,34.44,-122.79,NEAR OCEAN,219731.0
BLOCK-007335,37486,2024-01-16,3.6512,8.0,2908.0,,2755,681.0,34.51,-122.04,INLAND,170250.0
BLOCK-001776,14665,2022-01-01,2.3028,34.0,7111.0,1988.0,915,263.0,41.83,-115.12,NEAR BAY,170518.0
BLOCK-015276,39750,2024-10-09,3.4307,39.0,6759.0,,1186,312.0,41.05,-118.21,INLAND,172878.0
BLOCK-012294,77526,2022-03-19,4.8195,5.0,3062.0,759.0,2347,703.0,34.19,-114.15,NEAR OCEAN,273070.0
BLOCK-002701,23089,2021-05-24,2.1378,10.0,2574.0,740.0,5240,1167.0,33.29,-120.97,<1H OCEAN,205758.0
BLOCK-009547,16545,2020-05-05,2.6743,33.0,2173.0,,3521,1246.0,35.28,-122.3,INLAND,180782.0
BLOCK-019133,86029,2024-07-05,3.222,51.0,1604.0,254.0,1637,470.0,37.71,-124.22,<1H OCEAN,263484.0
BLOCK-002702,51527,2020-07-03,3.1297,38.0,2441.0,396.0,4486,1285.0,37.9,-124.45,<1H OCEAN,232651.0
BLOCK-011522,11121,2020-12-19,4.8633,9.0,1545.0,,3202,1184.0,41.75,-122.42,<1H OCEAN,325732.0
BLOCK-019482,18060,2021-03-13,1.9952,50.0,7549.0,1512.0,2649,818.0,36.86,-123.81,<1H OCEAN,164102.0
BLOCK-006730,40478,2020-03-29,3.6842,44.0,4822.0,1387.0,4431,1386.0,38.21,-121.1,<1H OCEAN,218206.0
BLOCK-000285,60127,2021-12-04,1.81,19.0,7182.0,1666.0,4462,1147.0,32.99,-118.45,INLAND,119183.0
BLOCK-013337,23973,2020-06-27,5.1502,39.0,7808.0,2210.0,1535,382.0,40.57,-116.51,<1H OCEAN,297249.0
BLOCK-015126,96656,2024-01-20,3.6916,30.0,1696.0,465.0,3852,1490.0,37.06,-114.75,NEAR OCEAN,191643.0
BLOCK-016284,39605,2023-01-29,2.0734,42.0,7018.0,1384.0,5847,1316.0,37.74,-115.36,<1H OCEAN,181912.0
BLOCK-015702,92770,2020-10-06,3.2815,51.0,7114.0,1510.0,3535,846.0,34.58,-121.12,<1H OCEAN,293096.0
BLOCK-012613,25077,2023-01-29,2.6938,28.0,4051.0,760.0,1478,348.0,32.83,-121.73,<1H OCEAN,233769.0
BLOCK-006098,47210,2021-01-06,5.9853,32.0,2732.0,584.0,1087,398.0,37.03,-121.15,<1H OCEAN,401635.0
BLOCK-011199,88177,2022-07-30,,,6852.0,1143.0,5883,1504.0,33.93,-114.23,<1H OCEAN,161714.0
BLOCK-000549,32671,2024-08-05,4.2571,23.0,6469.0,1734.0,546,197.0,40.43,-117.34,INLAND,160495.0
BLOCK-017118,95993,2022-05-26,8.0198,37.0,5060.0,1327.0,3664,1440.0,39.27,-123.24,NEAR OCEAN,374894.0
BLOCK-018043,54241,2024-06-04,3.4116,28.0,1736.0,457.0,82,27.0,40.85,-119.67,INLAND,196932.0
BLOCK-002909,23313,2020-02-03,2.3031,48.0,7683.0,2096.0,783,209.0,38.27,-117.24,NEAR OCEAN,213276.0
BLOCK-016097,15756,2020-06-20,3.8407,51.0,619.0,,4704,1289.0,35.6,-116.91,<1H OCEAN,233098.0
BLOCK-019829,84000,2023-12-30,2.1758,3.0,3465.0,905.0,2630,930.0,41.63,-114.53,<1H OCEAN,232487.0
BLOCK-003048,27327,2022-03-05,5.8243,35.0,5521.0,1378.0,5873,1363.0,41.31,-122.1,<1H OCEAN,302399.0
BLOCK-006951,48778,2020-08-24,4.6775,28.0,4851.0,1047.0,3456,1271.0,40.89,-119.71,<1H OCEAN,279425.0
BLOCK-010765,68889,2022-09-13,3.113,11.0,1440.0,,5884,1867.0,34.66,-117.19,NEAR BAY,212477.0
BLOCK-005888,55516,2024-11-11,6.7014,42.0,7639.0,2272.0,1640,377.0,32.55,-115.51,<1H OCEAN,346672.0
BLOCK-015165,28452,2021-04-13,2.9564,4.0,192.0,56.0,472,152.0,38.66,-124.24,INLAND,97883.0
BLOCK-006069,37730,2023-06-09,1.7587,1.0,5453.0,1264.0,1918,516.0,36.23,-116.37,NEAR OCEAN,107468.0
BLOCK-011456,79952,2021-09-14,3.2274,23.0,5376.0,906.0,1547,505.0,38.31,-117.95,<1H OCEAN,224782.0
BLOCK-004525,27755,2024-10-06,2.4667,28.0,1476.0,231.0,4787,1888.0,38.93,-120.99,INLAND,79152.0
BLOCK-004696,40721,2023-06-01,1.2581,3.0,5586.0,920.0,378,125.0,37.03,-123.85,ISLAND,188727.0
BLOCK-012281,85834,2022-07-05,7.472,20.0,4905.0,1181.0,3314,987.0,41.94,-115.97,INLAND,275823.0
BLOCK-011457,91641,2021-12-08,2.3256,38.0,2485.0,413.0,3015,1152.0,36.35,-114.09,INLAND,117873.0
BLOCK-014307,17858,2021-08-01,1.9092,25.0,6653.0,1993.0,1104,318.0,32.78,-122.5,<1H OCEAN,164479.0
BLOCK-011709,95201,2024-05-22,,51.0,2653.0,537.0,3423,1247.0,37.91,-121.97,<1H OCEAN,273221.0
BLOCK-006195,69331,2020-09-24,,26.0,1516.0,424.0,2847,680.0,33.81,-121.64,<1H OCEAN,271867.0
BLOCK-002067,74169,2023-02-02,2.9464,41.0,2885.0,830.0,1803,517.0,33.46,-122.01,NEAR BAY,198503.0
BLOCK-014105,12574,2024-01-17,1.2648,31.0,3343.0,615.0,1051,250.0,33.78,-116.31,<1H OCEAN,177542.0
BLOCK-012385,30225,2022-06-05,,44.0,2673.0,650.0,3727,935.0,40.54,-122.05,INLAND,101976.0
BLOCK-006687,54656,2020-02-04,2.579,43.0,1498.0,417.0,2171,764.0,33.5,-116.0,NEAR OCEAN,199358.0
BLOCK-009647,49933,2022-09-19,3.5676,,3763.0,710.0,3483,970.0,36.83,-123.52,<1H OCEAN,275362.0
BLOCK-015073,88770,2021-05-29,2.4268,15.0,5398.0,1471.0,708,160.0,36.32,-124.4,INLAND,168226.0
BLOCK-015354,63321,2024-02-06,3.0302,40.0,5466.0,910.0,5393,1409.0,40.01,-119.72,INLAND,196854.0
BLOCK-004505,43205,2021-06-29,2.2423,38.0,715.0,147.0,5536,1360.0,39.21,-118.85,<1H OCEAN,198866.0
BLOCK-015827,53375,2021-10-20,1.9006,48.0,4813.0,,4753,1095.0,35.82,-122.27,<1H OCEAN,177244.0
BLOCK-011581,24668,2024-05-01,4.3401,31.0,1188.0,279.0,4796,1296.0,33.09,-118.89,<1H OCEAN,340868.0
BLOCK-016986,90154,2020-03-11,1.2423,31.0,1141.0,188.0,3711,944.0,40.77,-118.9,<1H OCEAN,204261.0
BLOCK-011333,60546,2021-03-21,1.1589,42.0,2016.0,340.0,4299,1054.0,36.89,-116.16,<1H OCEAN,117040.0
BLOCK-018951,86750,2022-01-09,2.0593,30.0,1221.0,332.0,2910,763.0,39.9,-119.7,<1H OCEAN,191868.0
BLOCK-019679,83577,2020-08-31,1.1914,19.0,1249.0,243.0,4603,1061.0,35.5,-115.5,<1H OCEAN,60406.0
BLOCK-018245,42624,2020-09-04,1.2061,23.0,5522.0,1624.0,3389,975.0,34.05,-119.15,<1H OCEAN,209566.0
BLOCK-001358,70398,2022-05-13,4.0587,,7378.0,2212.0,3975,1339.0,40.36,-124.36,<1H OCEAN,268798.0
BLOCK-003070,51019,2022-04-28,2.8739,19.0,3723.0,761.0,4521,1128.0,37.97,-122.13,NEAR OCEAN,163425.0
BLOCK-005948,83977,2023-11-29,6.1112,33.0,6899.0,2048.0,5700,2223.0,34.12,-119.68,INLAND,256275.0
BLOCK-013023,94469,2021-02-23,1.4664,26.0,6279.0,1589.0,622,140.0,40.85,-118.86,NEAR OCEAN,147044.0
BLOCK-009625,85710,2021-10-14,1.2925,47.0,3777.0,852.0,2195,491.0,38.53,-115.38,INLAND,109651.0
BLOCK-019020,21180,2024-01-06,2.8893,46.0,4642.0,1073.0,386,98.0,38.23,-118.88,<1H OCEAN,230835.0
BLOCK-016176,36699,2021-06-24,1.5991,31.0,1197.0,291.0,3625,1440.0,40.66,-118.78,<1H OCEAN,189917.0
BLOCK-014108,98387,2020-04-27,2.979,33.0,3109.0,871.0,1390,454.0,33.42,-119.6,NEAR BAY,165318.0
BLOCK-002255,97430,2023-05-26,2.113,36.0,6836.0,1723.0,4631,1370.0,35.86,-123.1,NEAR OCEAN,135139.0
BLOCK-012847,63982,2024-02-09,2.2204,43.0,3257.0,546.0,3443,874.0,37.45,-115.78,INLAND,125825.0
BLOCK-008355,84769,2020-09-13,2.007,51.0,2221.0,585.0,3681,966.0,36.16,-116.07,<1H OCEAN,188026.0
BLOCK-014728,56990,2023-09-08,1.0648,16.0,4427.0,755.0,629,163.0,41.24,-114.22,NEAR BAY,42312.0
BLOCK-006909,85975,2023-01-10,4.1086,50.0,734.0,117.0,2553,967.0,37.73,-117.34,INLAND,204073.0
BLOCK-006549,47722,2022-03-14,3.121,3.0,6301.0,1046.0,52,20.0,34.57,-116.16,NEAR OCEAN,238796.0
BLOCK-011193,77298,2024-08-02,3.3336,12.0,6422.0,1011.0,271,78.0,39.94,-118.61,NEAR BAY,140373.0
BLOCK-009812,94621,2021-11-25,2.4166,30.0,1718.0,404.0,2369,738.0,39.63,-123.46,NEAR BAY,81157.0
BLOCK-016195,11747,2021-03-02,4.7427,43.0,6411.0,1734.0,725,234.0,40.58,-122.06,NEAR OCEAN,271164.0
BLOCK-018182,99480,2022-04-02,2.0442,34.0,2606.0,690.0,3841,943.0,35.67,-120.55,<1H OCEAN,184388.0
BLOCK-011624,39440,2023-05-27,2.9322,39.0,6951.0,1868.0,4031,1160.0,39.93,-114.87,INLAND,151235.0
BLOCK-010341,90141,2021-05-30,1.2542,34.0,7809.0,2091.0,3773,1063.0,41.22,-116.72,INLAND,119557.0
BLOCK-019956,42984,2022-02-14,4.6522,23.0,4586.0,816.0,2001,760.0,39.57,-120.55,<1H OCEAN,250878.0
BLOCK-011402,72103,2020-04-02,4.6844,38.0,6009.0,1129.0,5176,1724.0,33.29,-121.73,INLAND,229053.0
BLOCK-018625,13102,2020-07-21,1.4459,44.0,3997.0,,5605,1645.0,40.26,-123.48,<1H OCEAN,158946.0
BLOCK-008440,73208,2022-12-11,1.8642,29.0,606.0,109.0,4602,1125.0,37.51,-117.23,ISLAND,231780.0
BLOCK-015914,37926,2020-08-06,1.3174,50.0,6118.0,1554.0,2051,706.0,40.76,-116.68,NEAR OCEAN,135021.0
BLOCK-013815,21067,2023-12-12,2.2498,48.0,769.0,127.0,2508,783.0,34.25,-119.97,INLAND,67309.0
BLOCK-005885,27219,2021-10-16,5.5086,34.0,2302.0,596.0,2029,741.0,38.41,-122.25,<1H OCEAN,314126.0
BLOCK-003315,99368,2024-06-29,1.016,38.0,5190.0,1103.0,4702,1096.0,40.15,-123.39,<1H OCEAN,165374.0
BLOCK-003912,90983,2021-09-15,6.4318,36.0,2529.0,395.0,2202,497.0,39.18,-114.31,INLAND,229545.0
BLOCK-017187,39991,2020-04-09,2.2229,18.0,3282.0,816.0,515,115.0,38.85,-123.47,<1H OCEAN,224676.0
BLOCK-005587,46195,2021-06-05,1.7567,7.0,4117.0,784.0,2232,545.0,34.64,-115.41,NEAR OCEAN,132734.0
BLOCK-004504,79609,2020-02-11,1.3511,39.0,6474.0,1287.0,3321,782.0,35.61,-121.95,NEAR OCEAN,160995.0
BLOCK-000049,46409,2020-07-31,4.739,27.0,281.0,60.0,3079,1012.0,40.89,-121.39,INLAND,244104.0
BLOCK-009676,72192,2023-08-19,3.2649,30.0,7670.0,1231.0,4580,1484.0,32.69,-114.89,<1H OCEAN,228904.0
BLOCK-002932,10472,2021-04-23,3.5926,28.0,1894.0,321.0,437,166.0,34.52,-114.63,<1H OCEAN,268065.0
BLOCK-010090,46936,2021-05-06,6.1581,14.0,7413.0,1813.0,5984,2084.0,39.6,-120.99,INLAND,233913.0
BLOCK-019587,61817,2020-04-24,,4.0,4886.0,751.0,4438,1334.0,39.71,-115.32,<1H OCEAN,236964.0
BLOCK-010536,26649,2021-10-30,3.2758,,7077.0,1336.0,492,157.0,33.4,-116.56,<1H OCEAN,286158.0
BLOCK-010263,12561,2023-02-14,0.9583,33.0,1625.0,446.0,3604,1263.0,37.21,-123.63,<1H OCEAN,118921.0
BLOCK-018101,77464,2023-01-24,2.8223,2.0,6571.0,1862.0,3562,1097.0,36.18,-124.48,NEAR OCEAN,210930.0
BLOCK-004337,43845,2023-06-07,3.0019,31.0,5228.0,1428.0,2469,654.0,35.31,-118.66,INLAND,120948.0
BLOCK-011178,85102,2020-02-26,1.9785,22.0,5935.0,1470.0,5887,1928.0,36.71,-114.54,INLAND,110958.0
BLOCK-010873,60736,2022-04-23,2.1063,49.0,2908.0,872.0,753,213.0,33.25,-114.34,INLAND,76127.0
BLOCK-008993,52526,2024-05-29,1.4447,,2670.0,452.0,2158,574.0,41.37,-118.21,INLAND,94541.0
BLOCK-007650,40553,2024-03-17,2.6388,50.0,7846.0,1799.0,1000,348.0,32.75,-119.26,NEAR OCEAN,193047.0
BLOCK-001303,74183,2022-04-20,4.2416,38.0,545.0,118.0,4276,1512.0,34.19,-115.91,<1H OCEAN,276779.0
BLOCK-019176,20295,2024-04-22,3.1452,48.0,7147.0,1452.0,1071,390.0,32.64,-120.5,NEAR OCEAN,166314.0
BLOCK-019528,95778,2021-04-01,1.9338,27.0,124.0,20.0,3548,1182.0,36.39,-117.58,INLAND,67005.0
BLOCK-010684,18066,2021-07-29,1.6873,41.0,3101.0,751.0,5751,1567.0,38.93,-118.25,<1H OCEAN,162130.0
BLOCK-016443,99891,2020-06-14,4.2894,38.0,3796.0,872.0,689,156.0,39.99,-120.53,INLAND,214064.0
BLOCK-011012,66145,2022-06-10,3.8439,23.0,7860.0,2092.0,4001,900.0,40.9,-115.63,<1H OCEAN,281195.0
BLOCK-007998,41442,2024-08-13,3.1445,32.0,4983.0,1181.0,3977,1049.0,40.76,-119.13,INLAND,124882.0
BLOCK-001373,78821,2023-01-08,3.0146,6.0,3482.0,792.0,598,218.0,38.85,-120.84,<1H OCEAN,236705.0
BLOCK-002998,74739,2020-01-31,9.0172,21.0,1557.0,454.0,2255,706.0,36.18,-115.51,NEAR BAY,392969.0
BLOCK-009364,29404,2020-10-03,1.5816,24.0,7353.0,1530.0,555,149.0,33.21,-118.08,INLAND,88981.0
BLOCK-015284,49504,2020-12-22,1.4189,6.0,3687.0,589.0,5916,1662.0,37.87,-116.11,<1H OCEAN,133766.0
BLOCK-017186,80045,2021-04-04,4.6208,49.0,1576.0,361.0,3160,747.0,37.48,-123.65,INLAND,197517.0
BLOCK-016927,19797,2023-10-30,1.8467,18.0,3982.0,888.0,5632,1494.0,39.94,-119.07,<1H OCEAN,176485.0
BLOCK-003050,58742,2023-04-12,5.7204,9.0,7037.0,1765.0,1488,559.0,41.07,-117.41,NEAR BAY,223678.0
BLOCK-000426,80755,2022-07-27,5.1483,22.0,4671.0,1382.0,5687,1385.0,33.93,-118.42,<1H OCEAN,317347.0
BLOCK-017972,74693,2023-01-28,6.6472,37.0,2447.0,395.0,5912,2017.0,40.89,-122.97,<1H OCEAN,326911.0
BLOCK-013090,58485,2020-10-15,3.5728,37.0,5173.0,1473.0,4659,1346.0,41.72,-121.89,<1H OCEAN,316640.0
BLOCK-009483,49385,2024-03-11,3.2011,28.0,4607.0,,5580,2101.0,37.83,-116.49,<1H OCEAN,242655.0
BLOCK-007711,22905,2020-09-07,,45.0,5961.0,1777.0,3520,1191.0,34.25,-114.57,<1H OCEAN,204353.0
BLOCK-017185,94915,2024-06-21,2.9179,41.0,2445.0,716.0,684,188.0,39.91,-118.83,<1H OCEAN,229355.0
BLOCK-000339,87546,2020-06-04,1.9964,44.0,4501.0,1139.0,5904,1578.0,40.41,-115.01,<1H OCEAN,177846.0
BLOCK-005194,57945,2023-05-09,2.3665,51.0,1753.0,377.0,4300,1287.0,39.77,-124.11,<1H OCEAN,235466.0
BLOCK-013591,13696,2023-04-11,1.9701,23.0,6291.0,1278.0,2080,677.0,40.67,-114.34,INLAND,77022.0
BLOCK-003698,31346,2022-01-26,,44.0,6732.0,1359.0,4423,1716.0,35.34,-116.0,INLAND,125317.0
BLOCK-018858,10538,2021-12-20,3.132,22.0,4746.0,981.0,5190,1602.0,34.91,-120.25,INLAND,140899.0
BLOCK-016767,94498,2024-05-22,1.7712,18.0,1117.0,293.0,2843,1130.0,32.93,-122.41,NEAR OCEAN,164969.0
BLOCK-019898,83383,2023-01-09,1.5853,18.0,3642.0,925.0,5625,2072.0,36.38,-124.4,<1H OCEAN,175830.0
BLOCK-010843,85566,2022-06-10,2.5644,10.0,2853.0,484.0,4546,1636.0,37.67,-117.15,<1H OCEAN,203998.0
BLOCK-009816,90572,2020-04-29,5.742,17.0,3453.0,707.0,1908,442.0,35.32,-114.08,<1H OCEAN,362000.0
BLOCK-008815,40921,2020-01-16,1.9628,32.0,4541.0,1105.0,4907,1722.0,41.05,-116.39,<1H OCEAN,176216.0
BLOCK-013225,78772,2022-12-22,2.2313,22.0,7632.0,1576.0,1033,283.0,35.0,-116.25,INLAND,113758.0
BLOCK-010269,12694,2020-10-17,5.3832,22.0,1883.0,471.0,2742,624.0,37.33,-115.08,INLAND,224735.0
BLOCK-011651,15737,2021-03-18,1.8253,44.0,6035.0,1528.0,2092,512.0,36.48,-124.31,INLAND,105033.0
BLOCK-016716,86558,2022-04-16,2.8705,51.0,7869.0,2108.0,5021,1416.0,34.39,-116.0,INLAND,164902.0
BLOCK-011263,95811,2023-12-27,1.634,36.0,2417.0,602.0,3983,1417.0,38.83,-123.61,NEAR OCEAN,165770.0
BLOCK-007303,38303,2021-10-15,1.9766,17.0,6359.0,1454.0,2725,637.0,34.64,-115.58,NEAR OCEAN,180679.0
BLOCK-000054,77355,2024-09-19,2.4414,47.0,6607.0,1487.0,1089,251.0,35.79,-121.98,<1H OCEAN,225006.0
BLOCK-002973,82683,2022-05-31,4.615,14.0,5551.0,886.0,5347,1334.0,33.74,-116.89,NEAR BAY,207828.0
BLOCK-014169,23006,2023-03-13,4.2042,5.0,1530.0,407.0,4849,1366.0,38.29,-123.04,NEAR BAY,156057.0
BLOCK-002959,56892,2024-05-05,3.5951,21.0,2848.0,803.0,3117,749.0,37.86,-120.35,INLAND,140814.0
BLOCK-006504,23880,2022-12-28,2.0482,13.0,1206.0,184.0,2126,723.0,41.73,-115.53,NEAR BAY,114676.0
BLOCK-005352,43822,2020-09-14,1.5386,48.0,5302.0,940.0,2814,706.0,39.22,-124.32,<1H OCEAN,177718.0
BLOCK-018735,62273,2021-01-19,,36.0,5087.0,1025.0,1503,371.0,33.99,-123.28,<1H OCEAN,267503.0
BLOCK-000401,42216,2022-06-13,2.5177,3.0,147.0,36.0,986,334.0,41.9,-116.75,<1H OCEAN,223964.0
BLOCK-005195,94973,2023-07-07,3.9081,36.0,5126.0,916.0,3735,1319.0,38.18,-120.74,<1H OCEAN,325876.0
BLOCK-008304,15685,2022-09-29,3.6616,49.0,5984.0,1594.0,4912,1778.0,38.68,-116.87,<1H OCEAN,272350.0
BLOCK-007563,97186,2024-07-12,2.4208,37.0,4556.0,721.0,2594,972.0,39.11,-118.12,NEAR OCEAN,147659.0
BLOCK-010888,44339,2021-12-22,5.2954,29.0,2376.0,380.0,2901,985.0,41.55,-115.62,INLAND,252193.0
BLOCK-007157,49964,2020-01-09,2.9535,46.0,1179.0,214.0,1379,360.0,33.34,-122.04,INLAND,97166.0
BLOCK-011200,36210,2024-02-29,7.3554,21.0,526.0,155.0,2475,861.0,38.57,-114.53,NEAR BAY,339292.0
BLOCK-010194,53555,2024-05-30,2.8048,4.0,2094.0,354.0,525,118.0,38.97,-120.89,NEAR OCEAN,166544.0
BLOCK-006874,18269,2023-02-10,1.9462,17.0,1935.0,393.0,2313,605.0,35.64,-115.96,<1H OCEAN,212111.0
BLOCK-012791,81019,2022-02-19,3.1498,27.0,3805.0,622.0,4286,1230.0,39.66,-114.25,INLAND,222015.0
BLOCK-013398,37525,2020-11-04,1.932,28.0,3816.0,1036.0,972,246.0,40.12,-115.65,<1H OCEAN,215282.0
BLOCK-012140,53618,2022-10-05,1.0017,29.0,2270.0,608.0,619,145.0,38.69,-114.71,<1H OCEAN,137553.0
BLOCK-017718,13697,2021-09-18,1.6163,32.0,7287.0,2172.0,4283,1091.0,33.27,-119.58,INLAND,112921.0
BLOCK-018779,88947,2020-12-04,1.0514,34.0,7526.0,1403.0,5392,1369.0,35.02,-119.93,<1H OCEAN,159501.0
BLOCK-011309,77087,2020-11-30,4.5433,9.0,5067.0,852.0,2889,865.0,36.88,-122.08,NEAR OCEAN,249027.0
BLOCK-001722,59165,2020-10-31,3.1764,2.0,2495.0,724.0,463,141.0,35.42,-117.75,INLAND,246064.0
BLOCK-009660,51605,2023-07-15,1.6879,8.0,6239.0,1003.0,4682,1111.0,40.97,-119.64,NEAR BAY,151833.0
BLOCK-000664,76203,2021-03-08,0.9579,28.0,5529.0,986.0,787,271.0,40.24,-117.35,<1H OCEAN,162261.0
BLOCK-017121,14850,2022-01-20,5.4369,11.0,3861.0,807.0,1499,453.0,36.99,-121.5,<1H OCEAN,291002.0
BLOCK-012492,61182,2023-03-19,2.447,38.0,7452.0,1224.0,4548,1452.0,32.88,-115.09,<1H OCEAN,208398.0
BLOCK-009566,40263,2022-06-22,2.8452,22.0,3769.0,912.0,5901,1934.0,36.8,-120.44,INLAND,99032.0
BLOCK-015181,29903,2021-04-25,5.2443,49.0,2773.0,668.0,532,130.0,38.37,-119.03,INLAND,285019.0
BLOCK-019526,78700,2021-07-13,5.3922,44.0,7823.0,1698.0,4396,1670.0,34.57,-119.11,NEAR OCEAN,306863.0
BLOCK-009138,47141,2024-02-26,1.3947,,520.0,146.0,4976,1904.0,39.78,-121.94,INLAND,57061.0
BLOCK-018545,78957,2023-04-05,2.0786,2.0,4249.0,714.0,5919,2269.0,35.36,-120.01,<1H OCEAN,201304.0
BLOCK-006438,39229,2023-05-17,5.1927,38.0,3672.0,965.0,4190,1053.0,33.24,-116.02,<1H OCEAN,310241.0
BLOCK-006670,50617,2020-11-29,2.8287,24.0,1950.0,516.0,4399,1554.0,39.13,-119.09,<1H OCEAN,238885.0
BLOCK-005702,53597,2023-05-16,0.8137,20.0,5298.0,1127.0,3004,723.0,33.65,-117.7,<1H OCEAN,163109.0
BLOCK-003733,27308,2024-07-11,5.7826,17.0,7147.0,1500.0,2907,692.0,34.31,-119.29,<1H OCEAN,376984.0
BLOCK-004743,26447,2020-05-02,1.6439,,5058.0,1272.0,3379,934.0,33.81,-115.96,NEAR OCEAN,171134.0
BLOCK-009426,75899,2021-05-05,2.6733,36.0,2545.0,440.0,3161,962.0,34.75,-122.91,<1H OCEAN,210446.0
BLOCK-009864,92263,2024-04-21,,51.0,2124.0,468.0,2645,629.0,35.28,-124.01,<1H OCEAN,255969.0
BLOCK-015780,37353,2022-04-15,3.788,2.0,2018.0,341.0,5694,1532.0,33.22,-118.74,<1H OCEAN,250964.0
BLOCK-015583,70771,2020-10-05,6.4356,33.0,6943.0,1092.0,5498,1283.0,37.45,-123.38,INLAND,262374.0
BLOCK-007425,35421,2024-10-21,2.0835,22.0,5606.0,1059.0,5233,1580.0,32.69,-114.23,INLAND,139822.0
BLOCK-012362,28616,2024-02-09,1.9543,30.0,4146.0,1011.0,1758,661.0,33.24,-124.41,NEAR BAY,94051.0
BLOCK-010572,84062,2023-11-09,2.9001,35.0,1692.0,309.0,110,43.0,33.01,-118.43,NEAR BAY,134831.0
BLOCK-011677,96508,2022-11-07,3.269,23.0,5717.0,921.0,2803,771.0,38.7,-116.39,INLAND,186281.0
BLOCK-018457,65908,2021-12-14,1.4947,32.0,7401.0,1896.0,759,194.0,34.62,-115.29,NEAR OCEAN,130048.0
BLOCK-000608,97898,2023-10-05,2.4277,27.0,1986.0,521.0,1192,280.0,37.8,-119.4,INLAND,90995.0
BLOCK-015983,86361,2022-08-10,4.4263,34.0,4721.0,760.0,2873,924.0,41.31,-115.06,INLAND,121417.0
BLOCK-008816,77230,2020-03-17,3.8305,44.0,5599.0,1463.0,5918,1974.0,41.54,-118.56,<1H OCEAN,331591.0
BLOCK-000019,98507,2024-02-27,2.4598,41.0,6744.0,1554.0,831,209.0,34.7,-117.7,NEAR OCEAN,229508.0
BLOCK-001338,75776,2023-06-08,3.295,26.0,6331.0,1297.0,5272,1553.0,35.02,-120.53,NEAR OCEAN,196214.0
BLOCK-008887,69367,2020-09-17,1.2567,21.0,4998.0,,4221,1544.0,36.48,-119.36,<1H OCEAN,116265.0
BLOCK-011320,40163,2020-08-03,5.2376,44.0,4611.0,911.0,3283,823.0,34.22,-114.24,<1H OCEAN,258207.0
BLOCK-004546,80642,2023-07-08,4.0553,12.0,1611.0,300.0,4498,1063.0,32.71,-123.45,INLAND,222776.0
BLOCK-013864,28752,2024-06-24,3.2501,23.0,7483.0,1849.0,3954,1502.0,37.63,-117.47,INLAND,150194.0
BLOCK-019382,72534,2024-01-08,1.9916,49.0,6679.0,,3619,932.0,39.48,-115.6,<1H OCEAN,201070.0
BLOCK-011681,46631,2024-05-13,1.7188,33.0,1463.0,395.0,3603,1241.0,39.42,-117.7,<1H OCEAN,155991.0
BLOCK-015551,58988,2020-06-14,2.7277,10.0,1906.0,327.0,5237,1387.0,33.69,-124.48,<1H OCEAN,171595.0
BLOCK-002487,14313,2022-09-30,2.5225,16.0,4344.0,691.0,4092,1553.0,36.95,-116.99,INLAND,190400.0
BLOCK-008116,83369,2024-02-27,4.7269,44.0,2694.0,586.0,2399,700.0,36.51,-122.91,INLAND,217244.0
BLOCK-015798,33065,2023-09-24,6.24,46.0,1649.0,294.0,1704,401.0,41.42,-123.27,INLAND,285966.0
BLOCK-013602,12651,2020-09-13,1.9825,46.0,7997.0,,3610,1437.0,36.56,-117.26,<1H OCEAN,153008.0
BLOCK-011223,96918,2023-12-15,6.4698,7.0,7113.0,1131.0,5800,1459.0,36.53,-116.59,<1H OCEAN,368836.0
BLOCK-017996,58611,2023-10-29,3.3009,18.0,5415.0,1596.0,1163,294.0,36.52,-121.33,<1H OCEAN,239849.0
