diamond_id,supplier_code,certified_date,carat,cut,color,clarity,depth,table,x_dim,y_dim,z_dim,price
DIA-008731,SUP-079,2023-08-29,0.61,Premium,D,VVS2,62.5,55.7,4.31,4.21,2.65,3780
DIA-004706,SUP-074,2024-04-26,1.06,Very Good,G,VS1,63.8,56.8,5.13,5.09,3.18,6943
DIA-002662,SUP-101,2024-07-13,0.89,Very Good,I,VS1,65.0,59.0,4.85,4.84,2.95,4122
DIA-011852,SUP-010,2020-05-11,1.56,Very Good,D,VS1,59.8,60.0,5.84,5.74,3.7,17608
DIA-014543,SUP-178,2022-12-06,1.0,Premium,J,VVS2,58.9,50.0,4.93,4.95,3.04,5100
DIA-015136,SUP-197,2024-11-29,0.81,Very Good,D,SI2,63.9,59.8,4.58,4.6,2.88,3460
DIA-017066,SUP-126,2023-11-25,1.49,Premium,G,VS2,60.7,52.5,5.78,5.75,3.55,11954
DIA-013533,SUP-162,2023-03-28,0.5,Premium,J,VS2,61.9,53.4,4.06,4.15,2.58,1046
DIA-000586,SUP-150,2024-10-30,0.56,Ideal,I,VS1,58.7,59.6,4.33,4.32,2.77,1846
DIA-017423,SUP-058,2024-03-25,1.01,Good,J,VS1,62.2,55.6,4.9,4.95,3.02,3404
DIA-012618,SUP-001,2021-01-13,0.83,Very Good,I,SI1,64.1,58.9,4.73,4.74,2.94,2897
DIA-003194,SUP-083,2021-03-03,0.47,Premium,D,SI1,63.6,,4.01,4.05,2.52,1688
DIA-001837,SUP-130,2022-11-21,0.44,Very Good,H,VVS2,62.2,58.7,3.78,3.8,2.29,1597
DIA-002953,SUP-004,2023-10-05,0.89,Premium,F,SI1,61.5,56.8,4.89,4.86,3.07,4703
DIA-002266,SUP-158,2021-02-11,0.35,Very Good,G,VVS1,,54.5,3.56,3.5,2.21,1148
DIA-017980,SUP-084,2024-04-18,0.78,Ideal,I,SI2,63.5,56.0,4.52,4.49,2.77,2512
DIA-005112,SUP-159,2024-11-11,1.33,Very Good,I,VS2,60.6,58.0,5.64,5.64,3.55,7492
DIA-004148,SUP-011,2024-09-23,0.6,Fair,I,VVS2,62.2,57.6,4.14,4.17,2.74,1625
DIA-011934,SUP-185,2020-06-20,0.46,Premium,G,SI1,60.8,52.0,3.87,3.91,2.36,1270
DIA-008482,SUP-144,2022-03-06,1.17,Premium,G,VS1,59.1,57.1,4.79,4.83,2.92,8558
DIA-013509,SUP-187,2023-02-23,0.51,Premium,I,SI2,60.4,57.5,3.95,3.89,2.53,1427
DIA-016757,SUP-091,2024-02-07,1.1,Very Good,G,VS1,60.4,57.9,4.82,4.88,2.91,6998
DIA-017882,SUP-129,2021-03-20,1.22,Good,I,IF,61.6,58.1,5.41,5.38,3.31,8588
DIA-006880,SUP-057,2021-11-16,0.28,Premium,G,SI2,62.4,58.2,3.47,3.54,2.13,347
DIA-011449,SUP-169,2021-04-28,0.89,Very Good,F,VS2,63.8,53.7,4.92,4.93,2.94,4909
DIA-010779,SUP-082,2020-06-01,0.7,Very Good,E,SI2,62.4,51.9,4.44,4.49,2.77,2843
DIA-014981,SUP-020,2022-06-05,0.54,Premium,G,SI2,59.4,56.3,4.27,4.28,2.73,1457
DIA-003795,SUP-153,2020-02-04,2.1,Ideal,H,VS2,64.0,55.1,6.47,6.47,4.07,23005
DIA-010031,SUP-048,2024-07-09,0.38,Premium,F,VS2,61.0,58.4,3.85,3.77,2.44,1032
DIA-001280,SUP-008,2022-11-09,0.5,Very Good,H,VS1,61.4,56.8,3.85,3.87,2.4,1573
DIA-007139,SUP-099,2022-03-15,0.39,Very Good,G,VS2,62.6,62.0,3.61,3.58,2.2,1500
DIA-009214,SUP-129,2023-12-07,0.43,Ideal,F,VS2,62.1,58.8,3.56,3.67,2.23,1794
DIA-010447,SUP-047,2023-07-19,0.36,Very Good,H,VS2,62.7,56.3,3.72,3.72,2.26,738
DIA-010133,SUP-115,2020-10-07,1.02,Very Good,I,VS1,62.8,57.3,4.89,4.88,3.03,4607
DIA-008833,SUP-067,2021-06-30,0.46,Ideal,J,SI1,62.1,56.3,3.92,3.95,2.44,1247
DIA-012084,SUP-107,2020-05-10,1.16,Premium,H,VS2,62.0,54.5,5.09,5.11,3.09,7317
DIA-010804,SUP-084,2021-02-24,0.48,Premium,J,VS1,60.4,57.6,3.82,3.74,2.48,966
DIA-019640,SUP-095,2021-03-17,0.62,Ideal,E,SI1,62.4,56.4,3.97,3.92,2.42,3080
DIA-002638,SUP-069,2022-09-19,0.34,Premium,I,SI1,60.8,58.3,3.7,3.66,2.3,518
DIA-010208,SUP-035,2022-02-10,0.46,Good,E,SI1,,63.5,4.08,4.0,2.58,1294
DIA-010603,SUP-106,2023-02-28,0.66,Ideal,F,I1,63.0,53.5,4.56,4.51,2.86,2138
DIA-004540,SUP-024,2023-11-30,0.47,Ideal,F,I1,63.8,52.9,3.86,3.9,2.37,973
DIA-008062,SUP-070,2021-09-12,1.0,Premium,G,SI1,64.7,58.6,4.91,4.89,2.99,5333
DIA-005925,SUP-074,2024-05-09,0.35,Ideal,G,VS2,62.3,57.9,3.73,3.82,2.32,742
DIA-017587,SUP-078,2024-12-29,0.25,Premium,G,VS1,59.7,57.3,3.47,3.48,2.18,342
DIA-005274,SUP-191,2021-11-05,2.09,Premium,H,SI2,63.0,59.9,6.0,5.91,3.66,15278
DIA-003860,SUP-070,2020-03-11,0.91,Good,G,SI1,61.2,55.5,4.65,4.68,2.95,3441
DIA-006672,SUP-031,2023-04-27,1.6,Ideal,F,VS1,62.8,55.8,5.73,5.8,3.54,18893
DIA-000222,SUP-037,2024-04-29,0.75,Ideal,H,VS2,63.7,57.7,4.36,4.31,2.69,3826
DIA-003545,SUP-008,2023-02-23,1.45,Ideal,I,SI1,61.2,52.7,5.37,5.29,3.4,8910
DIA-017784,SUP-028,2021-03-10,1.19,Premium,H,SI1,60.4,62.0,5.18,5.19,3.25,6570
DIA-019799,SUP-078,2022-04-13,0.46,Ideal,G,SI2,60.8,56.1,3.78,3.74,2.3,1280
DIA-011715,SUP-112,2021-04-04,0.63,Premium,G,VS2,62.3,57.9,4.1,4.12,2.58,2474
DIA-002442,SUP-067,2021-01-25,1.76,Ideal,I,VS1,62.7,55.3,5.99,5.98,3.73,16102
DIA-010926,SUP-086,2020-08-20,0.73,Fair,H,VS2,62.3,58.8,4.66,4.65,2.92,1982
DIA-013582,SUP-090,2021-08-27,0.6,Premium,G,SI1,61.1,55.7,3.85,3.84,2.39,2003
DIA-001972,SUP-165,2020-08-22,1.08,Fair,H,I1,62.2,57.4,4.85,4.85,3.02,2751
DIA-019906,SUP-074,2023-04-04,1.28,Ideal,H,VVS2,59.9,60.6,5.12,5.0,3.1,11756
DIA-001570,SUP-001,2023-04-18,1.03,Ideal,H,VVS1,64.1,,4.72,4.65,2.93,8780
DIA-001398,SUP-061,2023-08-24,0.58,Ideal,I,VS2,60.8,54.8,3.89,,2.42,2309
DIA-002281,SUP-176,2024-12-29,1.88,Ideal,H,SI1,62.3,60.8,6.33,6.31,3.92,15330
DIA-008882,SUP-079,2024-07-19,0.66,Ideal,D,VS2,62.8,58.2,4.33,4.32,2.73,3843
DIA-019120,SUP-125,2021-04-25,1.12,Ideal,G,VS2,60.5,54.6,5.17,5.14,3.26,7878
DIA-012868,SUP-110,2021-08-30,3.71,Ideal,G,VS2,59.5,55.1,7.68,,4.68,69676
DIA-002021,SUP-136,2020-04-29,0.96,Very Good,E,SI2,62.3,57.9,5.02,4.98,3.13,4629
DIA-014112,SUP-190,2021-01-27,0.43,Ideal,H,IF,62.0,58.4,3.89,3.92,2.31,2138
DIA-017339,SUP-153,2020-05-19,0.92,Ideal,G,VS2,57.7,55.7,4.79,4.83,2.9,5450
DIA-004333,SUP-123,2024-05-07,0.88,Premium,I,VS2,60.9,,4.78,4.87,3.0,3708
DIA-004770,SUP-031,2021-07-22,1.34,Good,J,VS1,59.3,56.8,5.44,5.44,3.26,6026
DIA-002505,SUP-096,2023-10-28,0.38,Very Good,J,SI1,62.7,54.3,3.41,3.44,2.14,628
DIA-005468,SUP-049,2022-05-02,0.87,Ideal,G,SI2,63.5,57.3,5.2,5.26,3.21,4095
DIA-005148,SUP-035,2024-05-25,1.01,Premium,H,SI1,64.8,59.1,4.65,4.68,2.82,4566
DIA-011585,SUP-034,2024-12-26,1.3,Ideal,F,VVS2,63.2,56.8,5.38,,3.33,14344
DIA-002002,SUP-139,2024-03-04,0.66,Fair,G,SI2,62.3,53.9,4.41,4.44,2.72,1640
DIA-018890,SUP-100,2022-09-15,0.66,Ideal,I,SI1,64.6,52.5,4.22,4.23,2.61,2417
DIA-002556,SUP-076,2022-10-22,1.02,Ideal,I,VVS2,61.6,55.2,5.01,5.01,3.13,6586
DIA-005380,SUP-159,2023-04-05,0.7,Premium,G,SI1,61.5,54.8,4.53,4.54,2.82,2325
DIA-002305,SUP-047,2020-03-09,0.82,Very Good,E,VS2,62.9,57.8,4.62,4.67,2.92,4885
DIA-004741,SUP-068,2024-01-03,0.63,Very Good,F,VS2,63.3,56.3,4.41,4.44,2.77,2564
DIA-018432,SUP-019,2024-12-19,1.41,Premium,J,VVS2,61.5,55.0,5.83,5.78,3.64,9912
DIA-007882,SUP-028,2023-12-07,0.35,Premium,J,VVS1,61.6,59.7,3.73,3.81,2.38,619
DIA-014961,SUP-196,2024-08-15,1.05,Ideal,G,SI2,61.0,60.5,5.27,5.28,3.26,5254
DIA-014253,SUP-121,2021-06-09,0.83,Premium,I,SI1,61.8,59.1,4.54,4.55,2.77,2638
DIA-000902,SUP-061,2023-02-20,0.53,Ideal,I,VVS2,61.9,55.9,3.98,3.97,2.51,1946
DIA-012783,SUP-174,2021-10-08,0.93,Premium,F,SI1,60.8,57.1,4.87,4.87,3.03,4888
DIA-014714,SUP-126,2021-04-22,0.51,Very Good,J,SI2,58.8,,3.9,3.92,2.43,680
DIA-000181,SUP-047,2020-10-03,0.81,Premium,E,VS1,62.2,56.8,4.61,4.58,2.83,5484
DIA-001063,SUP-094,2023-12-29,0.58,Ideal,F,VVS2,61.8,58.7,4.41,4.45,2.75,3474
DIA-008132,SUP-089,2024-02-04,0.81,Premium,G,VVS2,61.5,54.8,4.32,4.28,2.64,5252
DIA-013096,SUP-182,2023-02-08,0.4,Premium,G,SI1,64.5,59.4,3.83,3.87,2.29,1175
DIA-015001,SUP-190,2023-03-28,0.79,Premium,J,VS1,62.3,52.3,4.54,4.59,2.84,3251
DIA-009970,SUP-166,2022-05-03,0.52,Premium,I,VVS1,64.6,60.2,3.86,3.76,2.34,1931
DIA-001853,SUP-182,2021-06-04,0.54,Ideal,F,VS2,60.2,54.4,4.19,4.15,2.56,2359
DIA-013441,SUP-014,2022-09-28,1.3,Premium,H,I1,62.9,54.2,5.26,5.21,3.28,5172
DIA-019257,SUP-140,2020-12-21,0.89,Good,G,VVS2,64.5,55.7,4.71,4.72,2.88,4693
DIA-004201,SUP-053,2023-12-03,1.11,Ideal,I,SI1,60.3,58.1,5.07,5.03,3.29,5350
DIA-007554,SUP-109,2024-11-23,0.25,Premium,D,VS2,61.4,60.1,2.93,2.96,1.77,836
DIA-009144,SUP-068,2022-09-26,0.32,Very Good,F,SI1,61.1,59.5,3.49,3.46,2.19,586
DIA-012343,SUP-020,2020-04-02,0.73,Ideal,H,SI1,59.3,56.7,4.47,4.52,2.72,2740
DIA-001458,SUP-075,2024-02-02,0.3,Good,E,IF,64.0,56.8,3.42,3.49,2.12,1066
DIA-006402,SUP-097,2024-09-23,0.41,Premium,G,VS1,60.9,56.1,3.14,3.08,2.02,1313
DIA-014554,SUP-036,2020-06-21,0.74,Ideal,E,SI2,60.6,59.6,4.43,4.36,2.75,3344
DIA-015361,SUP-139,2020-10-18,1.68,Ideal,H,SI1,60.7,52.2,5.91,,3.6,12693
DIA-015098,SUP-073,2021-09-18,0.57,Very Good,H,SI2,63.5,59.4,4.09,4.15,2.6,1098
DIA-004622,SUP-092,2020-07-31,0.66,Ideal,G,SI1,61.2,62.6,4.27,,2.65,2955
DIA-005354,SUP-016,2022-01-23,0.62,Very Good,J,VS2,62.0,55.3,4.15,4.18,2.51,1305
DIA-016122,SUP-012,2021-02-26,0.75,Premium,H,SI2,59.5,57.6,4.3,4.31,2.65,2282
DIA-018401,SUP-060,2023-09-09,0.8,Premium,H,SI1,60.5,,4.68,4.71,2.91,3522
DIA-001926,SUP-087,2022-10-02,1.76,Premium,I,SI2,61.9,55.2,6.26,6.3,3.82,9781
DIA-017845,SUP-092,2024-04-10,1.32,Very Good,J,VS1,61.9,57.6,5.43,5.38,3.34,6939
DIA-016874,SUP-169,2021-12-30,1.01,Premium,G,VS2,62.6,60.0,4.95,4.89,3.07,6261
DIA-007671,SUP-082,2021-04-27,0.32,Good,I,SI2,59.5,57.5,3.52,3.56,2.09,405
DIA-009992,SUP-009,2020-07-29,0.73,Ideal,I,SI1,62.3,52.8,4.8,4.79,2.98,2399
DIA-016487,SUP-002,2024-11-07,0.5,Premium,D,IF,63.5,54.5,3.76,3.82,2.26,3800
DIA-018512,SUP-080,2022-12-06,3.09,Good,H,VS2,63.5,51.7,7.39,7.36,4.65,31979
DIA-011124,SUP-011,2021-09-04,0.49,Ideal,G,SI1,61.4,57.9,3.75,3.67,2.29,1436
DIA-008865,SUP-018,2022-05-10,0.51,Ideal,F,SI2,61.2,58.0,4.03,4.07,2.5,1710
DIA-000050,SUP-158,2024-03-19,1.1,Very Good,F,SI2,61.7,54.7,4.88,4.94,3.06,5386
DIA-015983,SUP-068,2020-12-15,0.74,Very Good,J,IF,62.3,55.9,4.63,4.66,2.9,3555
DIA-003656,SUP-149,2020-12-15,2.21,Very Good,G,VS1,60.9,54.8,6.27,6.23,3.96,25350
DIA-006562,SUP-117,2022-12-05,0.74,Ideal,I,SI1,64.5,,4.95,,3.1,2598
DIA-002497,SUP-169,2020-05-29,0.44,Good,E,VS2,62.1,57.2,3.83,3.75,2.34,1505
DIA-006689,SUP-075,2022-06-19,0.56,Premium,E,SI1,63.2,59.5,4.04,3.95,2.47,2326
DIA-005034,SUP-092,2023-01-22,0.61,Good,G,VS1,58.7,,4.42,4.39,2.69,2043
DIA-010444,SUP-101,2020-07-08,0.77,Premium,E,IF,61.6,59.0,4.43,4.41,2.76,7450
DIA-009362,SUP-037,2024-08-26,0.39,Very Good,F,SI1,61.5,59.1,3.66,3.62,2.33,1215
DIA-012239,SUP-080,2021-03-30,0.73,Ideal,H,SI2,61.9,65.9,4.3,4.3,2.65,2387
DIA-002458,SUP-081,2020-10-03,1.13,Very Good,E,SI2,62.4,56.5,5.21,5.16,3.29,6684
DIA-015312,SUP-033,2024-08-29,0.66,Premium,G,VS2,60.8,56.2,4.19,4.17,2.56,2880
DIA-005059,SUP-030,2024-01-03,0.49,Ideal,I,VS2,61.7,58.3,3.94,3.9,2.38,1382
DIA-008668,SUP-097,2020-05-07,0.36,Very Good,G,SI1,59.8,50.5,3.46,3.55,2.12,883
DIA-018138,SUP-032,2022-04-04,1.34,Premium,J,VS2,60.4,58.8,5.6,5.55,3.46,7247
DIA-006613,SUP-088,2023-01-04,1.1,Ideal,G,SI2,,60.3,5.19,5.23,3.23,5941
DIA-010862,SUP-033,2024-04-11,1.42,Premium,I,VS1,63.5,55.0,5.87,5.78,3.59,10276
DIA-007453,SUP-125,2022-03-01,1.35,Good,G,VS1,58.6,59.1,5.44,5.38,3.37,8961
DIA-005802,SUP-158,2021-12-15,1.61,Premium,G,VS2,61.9,59.3,5.88,5.99,3.67,14165
DIA-019976,SUP-136,2024-06-05,0.69,Premium,H,VS1,61.4,52.8,4.12,4.11,2.6,3073
DIA-016535,SUP-112,2024-01-21,1.25,Premium,F,VS1,60.6,55.1,5.42,5.4,3.33,10952
DIA-018651,SUP-102,2021-12-06,0.45,Premium,J,VS2,63.3,59.8,3.83,3.76,2.48,829
DIA-012283,SUP-023,2020-05-31,1.94,Good,H,VVS2,61.4,57.8,6.33,6.34,3.84,17280
DIA-018466,SUP-197,2024-12-29,1.15,Good,F,VS2,62.5,58.0,5.03,5.07,3.11,6816
DIA-009229,SUP-035,2020-01-20,0.48,Premium,H,VS2,62.3,56.6,3.68,3.64,2.27,1281
DIA-004104,SUP-022,2023-04-25,0.28,Good,H,VS2,63.3,54.7,3.3,3.31,2.12,489
DIA-005313,SUP-061,2021-05-08,1.06,Premium,J,SI1,61.1,57.7,4.91,4.97,2.98,3830
DIA-008523,SUP-195,2021-04-05,1.06,Ideal,J,VVS2,63.8,58.0,4.72,4.82,2.96,6554
DIA-004202,SUP-085,2020-12-03,1.14,Ideal,H,SI2,60.0,,5.36,5.3,3.27,5630
DIA-008679,SUP-081,2021-09-07,1.03,Good,F,VS2,62.3,56.4,4.84,4.82,2.97,5625
DIA-001097,SUP-005,2023-12-30,0.42,Very Good,G,VS1,62.3,57.3,3.98,3.97,2.47,1005
DIA-012715,SUP-065,2022-03-23,1.13,Premium,F,VS1,59.6,56.7,5.29,5.2,3.29,9387
DIA-004448,SUP-081,2021-09-17,0.71,Ideal,G,VS1,62.0,55.6,4.57,4.55,2.75,4003
DIA-013504,SUP-147,2022-12-23,0.89,Ideal,G,VS2,61.9,55.1,5.05,5.04,3.18,5244
DIA-016933,SUP-086,2021-06-29,0.61,Premium,F,VS2,58.2,57.9,4.15,4.16,2.62,2534
DIA-005107,SUP-166,2024-01-25,0.52,Premium,D,VVS2,,61.6,3.98,3.93,2.52,2945
DIA-019006,SUP-111,2023-05-07,0.63,Premium,I,VVS2,62.1,60.5,4.3,4.24,2.63,2910
DIA-003999,SUP-097,2021-07-29,1.11,Ideal,G,SI1,59.3,54.9,5.59,5.52,3.43,6917
DIA-005436,SUP-008,2024-12-20,1.38,Ideal,G,VS2,59.2,59.6,5.25,5.23,3.24,11629
DIA-013208,SUP-038,2024-03-31,0.57,Fair,D,VS1,61.7,54.4,4.39,4.34,2.82,2107
DIA-000205,SUP-124,2020-07-30,0.5,Ideal,E,IF,62.1,54.9,3.81,3.76,2.26,3343
DIA-016727,SUP-144,2020-05-23,0.9,Premium,J,VS1,65.1,58.9,4.88,4.9,3.01,4053
DIA-010669,SUP-104,2021-07-02,0.59,Premium,E,SI1,59.4,58.4,4.03,4.05,2.52,2336
DIA-011887,SUP-172,2024-01-24,0.3,Premium,J,VS1,61.1,59.2,3.05,,1.92,615
DIA-002086,SUP-191,2020-01-23,1.21,Premium,I,VVS2,62.2,55.6,5.29,5.31,3.29,8497
DIA-018965,SUP-116,2020-09-09,0.83,Premium,F,VS2,60.6,55.3,4.33,4.32,2.67,4804
DIA-003615,SUP-131,2024-12-02,0.43,Ideal,I,SI2,59.2,62.0,3.31,3.29,2.06,722
DIA-018694,SUP-099,2023-03-11,0.62,Ideal,I,IF,61.7,58.8,4.58,4.55,2.77,3485
DIA-001670,SUP-023,2023-06-30,0.83,Ideal,G,VVS2,60.3,59.6,4.45,4.42,2.71,5557
DIA-005466,SUP-068,2020-12-19,1.24,Premium,E,VS2,59.6,56.0,5.17,5.09,3.24,10485
DIA-006876,SUP-117,2022-01-20,1.14,Premium,G,SI2,61.9,58.7,5.15,5.12,3.23,5872
DIA-011710,SUP-030,2022-06-09,0.75,Ideal,F,VVS1,62.2,56.3,4.58,4.54,2.87,6175
DIA-002589,SUP-137,2024-11-06,0.88,Ideal,J,SI1,62.6,51.7,4.76,4.76,2.97,3149
DIA-004254,SUP-123,2021-06-06,0.88,Very Good,I,SI2,60.8,56.4,4.87,4.92,2.94,2595
DIA-012829,SUP-144,2023-11-23,1.0,Premium,I,SI2,62.8,55.8,5.01,5.01,3.07,3806
DIA-008550,SUP-178,2020-03-29,1.24,Very Good,J,VS1,65.4,56.7,5.13,5.16,3.16,6306
DIA-008214,SUP-140,2022-05-23,0.66,Very Good,I,SI2,62.8,54.6,4.64,4.61,2.95,1415
DIA-000431,SUP-023,2022-08-13,0.81,Premium,I,SI1,60.9,55.7,4.54,4.49,2.76,2930
DIA-002533,SUP-155,2023-09-05,0.66,Very Good,E,VVS2,60.9,59.8,4.26,4.25,2.72,4016
DIA-002202,SUP-175,2022-08-23,0.91,Premium,E,VS1,61.7,56.1,4.82,4.77,3.03,6748
DIA-001572,SUP-125,2023-12-22,1.47,Premium,E,SI2,62.8,55.8,5.72,5.67,3.52,11079
DIA-014578,SUP-138,2020-12-12,0.29,Premium,E,SI1,61.1,54.3,3.19,3.18,1.98,445
DIA-010834,SUP-184,2022-02-03,1.57,Premium,H,VVS1,61.4,54.0,5.82,5.85,3.61,17378
DIA-015663,SUP-138,2023-10-16,0.48,Ideal,H,VS2,59.9,60.6,4.15,4.22,2.58,1855
DIA-011651,SUP-074,2022-12-31,0.79,Very Good,G,VS1,59.2,54.8,4.64,4.66,2.86,4082
DIA-001277,SUP-190,2023-03-11,0.47,Ideal,F,SI1,64.7,56.8,3.62,3.75,2.24,1623
DIA-017681,SUP-090,2023-03-11,0.76,Ideal,E,SI1,63.2,57.2,4.73,4.86,2.99,4157
DIA-008018,SUP-080,2021-06-03,0.81,Very Good,J,VS2,59.5,58.9,4.4,4.38,2.66,3094
DIA-018459,SUP-080,2024-07-06,0.62,Premium,J,VVS2,60.7,55.3,4.03,4.08,2.49,2551
DIA-003778,SUP-163,2021-09-11,0.57,Very Good,G,VS2,60.0,56.6,4.1,4.13,2.45,1774
DIA-005589,SUP-060,2021-06-06,0.23,Premium,G,SI1,,59.0,2.91,2.88,1.81,300
DIA-018709,SUP-044,2023-07-31,0.6,Very Good,J,VVS2,64.5,57.9,4.29,4.32,2.64,1679
DIA-015926,SUP-040,2022-09-26,0.45,Premium,H,SI1,59.3,53.9,3.42,3.53,2.09,1062
DIA-008454,SUP-128,2022-12-09,0.57,Premium,F,SI2,60.1,58.4,4.4,4.4,2.75,1378
DIA-007667,SUP-178,2023-10-02,0.69,Premium,I,SI1,60.9,59.2,4.25,4.24,2.66,2036
DIA-011903,SUP-104,2020-10-03,1.15,Premium,E,SI1,61.9,51.7,5.43,5.42,3.34,8427
DIA-016658,SUP-067,2024-04-28,0.41,Good,I,IF,,61.0,3.79,3.89,2.4,1017
DIA-018372,SUP-077,2021-06-02,0.32,Very Good,H,VS1,63.6,55.4,3.28,3.35,1.98,646
DIA-008037,SUP-027,2023-08-09,1.4,Very Good,F,VS2,63.3,60.0,5.79,5.8,3.62,11017
DIA-008285,SUP-048,2021-10-23,0.87,Premium,I,VVS1,61.7,51.9,4.64,,2.83,5626
DIA-019884,SUP-181,2021-10-18,0.28,Premium,H,VVS1,58.8,58.6,3.18,3.2,2.09,1125
DIA-001372,SUP-151,2024-10-18,1.36,Very Good,G,VS1,62.5,58.1,5.11,5.09,3.14,10567
DIA-000884,SUP-092,2023-10-23,0.85,Very Good,I,VS2,63.2,59.5,4.75,4.73,3.01,3359
DIA-013597,SUP-053,2020-06-28,0.38,Very Good,G,SI2,61.9,57.3,3.79,3.79,2.34,767
DIA-001039,SUP-186,2021-02-06,1.73,Fair,J,I1,62.4,54.2,5.85,5.9,3.51,4279
DIA-014636,SUP-057,2020-05-27,0.53,Premium,J,SI1,60.9,54.2,4.54,4.58,2.8,1165
DIA-001470,SUP-170,2022-08-03,2.11,Premium,I,VS2,62.9,57.6,6.42,6.41,3.9,18740
DIA-012922,SUP-168,2022-08-23,0.7,Very Good,F,VVS2,63.7,54.8,4.61,4.56,2.88,4377
DIA-002445,SUP-035,2023-10-03,0.36,Premium,H,IF,62.2,56.3,3.44,3.49,2.19,1472
DIA-011223,SUP-182,2020-02-28,0.58,Very Good,F,SI1,65.5,54.3,4.14,4.14,2.55,1812
DIA-008035,SUP-180,2023-11-28,0.71,Ideal,G,SI1,63.4,56.9,4.66,4.6,2.94,3323
DIA-016455,SUP-119,2020-09-14,0.63,Ideal,G,SI1,65.4,56.8,3.91,3.91,2.43,2493
DIA-009317,SUP-049,2021-05-07,0.77,Premium,J,SI2,61.7,58.1,4.53,4.54,2.89,2210
DIA-014618,SUP-183,2024-10-23,0.82,Very Good,G,VS1,62.6,57.9,4.9,4.85,3.08,4359
DIA-002095,SUP-166,2024-07-28,0.56,Premium,G,VS2,60.8,55.7,3.89,3.83,2.33,2613
DIA-003857,SUP-043,2022-10-15,0.83,Premium,F,VS2,61.1,58.8,4.66,4.58,2.84,4711
DIA-018476,SUP-144,2022-03-27,1.24,Very Good,H,SI2,62.6,56.5,5.52,5.57,3.45,5453
DIA-011512,SUP-181,2024-01-31,1.36,Ideal,I,I1,61.4,54.9,5.74,5.65,3.6,5346
DIA-003477,SUP-015,2021-08-02,0.66,Ideal,I,VS2,62.7,61.8,4.67,4.62,2.93,2849
DIA-001010,SUP-165,2020-05-06,3.01,Ideal,E,SI1,59.6,54.6,7.0,7.04,4.3,49101
DIA-017276,SUP-143,2023-10-30,0.4,Ideal,J,SI2,60.6,55.1,3.33,3.3,2.03,744
DIA-014137,SUP-190,2023-09-01,1.37,Ideal,G,IF,60.4,56.8,5.62,5.67,3.46,18050
DIA-008483,SUP-141,2020-11-18,0.85,Premium,H,VS1,62.4,57.9,4.5,4.49,2.78,4464
DIA-010671,SUP-116,2021-03-10,0.64,Very Good,I,IF,64.1,59.4,4.34,4.3,2.69,3105
DIA-017024,SUP-094,2020-02-20,0.38,Ideal,F,VVS2,61.6,58.9,3.43,3.45,2.12,1665
DIA-012280,SUP-008,2023-12-23,1.17,Premium,J,VVS2,62.1,55.9,5.24,5.22,3.26,7236
DIA-000934,SUP-189,2022-01-02,1.28,Premium,G,SI1,63.3,55.7,5.44,5.49,3.38,8103
DIA-006706,SUP-083,2024-11-11,0.3,Premium,G,VS1,63.2,55.3,2.96,3.0,1.87,589
DIA-007806,SUP-049,2022-11-22,0.47,Premium,G,VS1,64.3,54.9,3.96,3.96,2.55,1713
DIA-018555,SUP-005,2020-02-11,2.0,Premium,J,VS1,61.8,61.2,6.22,6.16,3.79,16511
DIA-001343,SUP-077,2022-05-26,0.32,Premium,H,SI1,62.4,,3.87,3.83,2.39,508
DIA-005225,SUP-118,2023-03-17,0.49,Good,I,SI1,61.1,56.5,4.0,4.0,2.45,1144
DIA-000359,SUP-094,2022-02-11,1.17,Ideal,J,SI1,59.1,58.9,5.3,5.21,3.25,4978
DIA-005685,SUP-027,2020-09-25,0.38,Ideal,D,SI1,61.2,59.7,3.62,3.65,2.32,981
DIA-018614,SUP-113,2020-10-22,0.85,Premium,E,SI2,62.6,51.5,4.72,4.7,2.96,3877
DIA-000959,SUP-098,2020-11-08,0.66,Premium,G,SI2,64.1,59.1,4.22,4.25,2.58,1843
DIA-007988,SUP-089,2021-03-19,1.45,Very Good,G,VS2,60.8,56.1,5.8,5.82,3.58,11244
DIA-001148,SUP-129,2023-02-26,1.29,Very Good,F,VVS1,60.4,59.8,5.41,5.36,3.29,13467
DIA-002954,SUP-022,2020-10-19,1.0,Premium,D,VS2,64.4,60.5,4.73,4.65,2.9,8119
DIA-002051,SUP-132,2022-06-01,1.53,Premium,H,SI2,62.7,54.9,6.22,6.2,3.86,9142
DIA-002054,SUP-191,2020-01-22,1.23,Very Good,G,VS2,61.4,57.6,5.66,5.65,3.44,8314
DIA-013406,SUP-080,2022-09-18,0.96,Good,G,VVS2,62.6,56.2,4.68,4.67,2.94,5306
DIA-015079,SUP-126,2024-08-31,0.76,Premium,F,SI2,61.2,52.5,4.21,4.19,2.66,3035
DIA-016784,SUP-082,2021-09-08,0.58,Very Good,J,VS2,60.3,57.9,4.5,4.53,2.75,1570
DIA-013802,SUP-004,2020-04-16,1.14,Very Good,E,SI1,59.8,,5.09,5.09,3.21,7369
DIA-018829,SUP-190,2020-04-30,0.36,Ideal,F,SI1,63.7,57.8,3.53,3.45,2.21,850
DIA-004678,SUP-042,2020-09-07,0.7,Good,E,SI1,59.4,57.3,4.59,,2.87,2699
